% hBN; Cure Temperature (°C); % Functionalization;Elastic Modulus (GPa); Tensile Strength (MPa);Glass Transition Temp (°C);High Temp Modulus (GPa); High Temp Strength (MPa)
0;80;0;2.9;73.56;84.78;1.59;31.3
0;80;0;3.14;72.73;84.78;2.22;33.4
0;80;0;2.91;72.23;84.78;2.29;33.8
0;80;0;2.98;70.94;84.78;2.18;33.6
0;80;0;2.76;73.15;84.78;2.35;32.7
0.1;80;0;3.012784681;70.60481815;;;
0.1;80;0;2.848734608;70.1798357;;;
0.1;80;0;3.231491096;73.23764474;;;
0.1;80;0;3.249266919;71.3064869;;;
0.1;80;0;3.046776824;72.88775108;;;
0.5;80;0;2.1;69.3;84.67;2.56;29.54
0.5;80;0;2.13;70.7;84.67;2.13;32.01
0.5;80;0;2.15;68.9;84.67;1.08;31.31
0.5;80;0;2.12;71.2;84.67;0.85;31.23
0.5;80;0;2.2;70.9;84.67;1.15;31.53